policy_name,model_id,total_discounted_loss,mean_period_loss,mean_sq_inflation_gap,mean_sq_output_gap,mean_sq_rate_change,mean_policy_rate,std_policy_rate,parent_policy,intercept,inflation_gap,output_gap,lagged_policy_rate_gap,converged,iterations,clip_rate,max_fixed_point_gap
sac_svar_revealed_direct_int_-0p25,pyfrbus,17.3402970806691,0.863546175049244,0.005153947301959556,1.7161485344982461,0.0031796049816155483,2.3675866357471604,0.18697951954566266,sac_svar_revealed_direct,-0.054765096784693906,0.0678741432465723,0.0509750434082332,0.9307229868470568,True,11,0.0,0.0
empirical_taylor_rule_int_-0p50,pyfrbus,20.195760337973468,0.9670544213941624,0.006928643792977476,1.9157546407387394,0.022484572318152613,2.5327944334489167,0.49861349612428274,empirical_taylor_rule,-0.2834268715039201,0.1931728114825275,0.2657685748665041,0.8691997672478173,True,14,0.0,0.0
empirical_taylor_rule_all_x1p30,pyfrbus,30.095617910215502,1.420780393151194,0.017128109510549303,2.7795950610547133,0.13854753113287963,2.914783016165656,1.8754651797160564,empirical_taylor_rule,0.2165731284960799,0.25112465492728575,0.34549914732645537,1.1299596974221626,True,18,0.0,0.0
empirical_taylor_rule_int_+0p50,pyfrbus,37.06468119157938,1.780893313677901,0.026076501884317687,3.5006508753016576,0.04491374142754432,3.767932109379913,0.6906753419495734,empirical_taylor_rule,0.7165731284960799,0.1931728114825275,0.2657685748665041,0.8691997672478173,True,14,0.0,0.0
empirical_taylor_rule_lagged_policy_rate_gap_x1p30,pyfrbus,64.40163817746637,3.093591147686734,0.03938571652165532,6.075497524780125,0.16456668775016328,3.5158476149697186,2.013151732084458,empirical_taylor_rule,0.2165731284960799,0.1931728114825275,0.2657685748665041,1.1299596974221626,True,16,0.125,0.0
sac_svar_revealed_direct_int_+0p25,pyfrbus,115.03606404339199,5.717676172896433,0.06882100297669595,11.292092863427746,0.02808738205864783,5.020650908892945,0.5989498668544692,sac_svar_revealed_direct,0.4452349032153061,0.0678741432465723,0.0509750434082332,0.9307229868470568,True,11,0.0,0.0
sac_svar_revealed_direct_int_-0p50,pyfrbus,183.9309649002838,9.178486890881564,0.06486176744837693,18.22118426142191,0.03032992722231558,1.1589398972104925,0.5560705939271537,sac_svar_revealed_direct,-0.3047650967846939,0.0678741432465723,0.0509750434082332,0.9307229868470568,True,11,0.0,0.0
sac_svar_revealed_direct_all_x1p15,pyfrbus,234.06854084454292,11.762735194851173,0.13639300447105482,23.23873435387129,0.06975013444470995,6.581322146316212,1.9068102314360178,sac_svar_revealed_direct,0.1952349032153061,0.07805526473355814,0.05862129991946818,1.0703314348741153,True,12,0.0,0.0
sac_svar_revealed_direct_lagged_policy_rate_gap_x1p15,pyfrbus,254.71392011705433,12.813020174955566,0.14905084764717094,25.310415250928667,0.0876170184406273,6.850818528827662,2.172653556986796,sac_svar_revealed_direct,0.1952349032153061,0.0678741432465723,0.0509750434082332,1.0703314348741153,True,12,0.041666666666666664,0.0
sac_svar_revealed_direct_int_+0p50,pyfrbus,279.31846052722335,13.864373755553947,0.17172397919601481,27.369880782595274,0.07709385060294072,6.440014264333697,1.032624591323,sac_svar_revealed_direct,0.6952349032153061,0.0678741432465723,0.0509750434082332,0.9307229868470568,True,11,0.0,0.0
sac_svar_revealed_direct_all_x1p30,pyfrbus,564.7177077189313,28.08410666761401,0.3617545961633331,55.394395369856134,0.2515438652261141,8.61358807498978,2.289821579170393,sac_svar_revealed_direct,0.1952349032153061,0.088236386220544,0.06626755643070316,1.2099398829011738,True,11,0.6666666666666666,0.0
sac_svar_revealed_direct_lagged_policy_rate_gap_x1p30,pyfrbus,568.4998263564096,28.26664149211756,0.36461240777737797,55.752878269290925,0.2558994969472504,8.630564460057698,2.285112030667279,sac_svar_revealed_direct,0.1952349032153061,0.0678741432465723,0.0509750434082332,1.2099398829011738,True,11,0.6666666666666666,0.0
