case_id,case_group,evaluation_type,loss_function,environment,policy_name,rule_family,source_env,training_env,policy_parameterization,algo,source_file,result_metric,result_value,secondary_metric,secondary_value,comparison_metric,comparison_value,solver_status
case_0074,empirical_unified,historical_shock,revealed,ann,td3_benchmark_transfer,benchmark_transfer,benchmark,benchmark,linear_surrogate,td3,outputs\phase10\revealed_welfare\revealed_historical_summary.csv,total_discounted_revealed_loss,1053.461790505682,mean_period_revealed_loss,19.32174486771336,,,
case_0075,empirical_unified,historical_shock,revealed,ann,empirical_taylor_rule,empirical_rule,svar,svar,fixed_rule,,outputs\phase10\revealed_welfare\revealed_historical_summary.csv,total_discounted_revealed_loss,285.3521688600022,mean_period_revealed_loss,5.250908637394475,,,
case_0076,empirical_unified,historical_shock,revealed,ann,historical_actual_policy,historical_actual,historical,historical,fixed_rule,,outputs\phase10\revealed_welfare\revealed_historical_summary.csv,total_discounted_revealed_loss,483.7715958016856,mean_period_revealed_loss,9.279744774158909,,,
case_0077,empirical_unified,historical_shock,revealed,ann,ppo_svar_direct,svar_direct,svar,svar,linear_policy,ppo,outputs\phase10\revealed_welfare\revealed_historical_summary.csv,total_discounted_revealed_loss,206.4909792323561,mean_period_revealed_loss,3.769422704801121,,,
case_0078,empirical_unified,historical_shock,revealed,ann,ppo_svar_direct_nonlinear,svar_direct,svar,svar,nonlinear_policy,ppo,outputs\phase10\revealed_welfare\revealed_historical_summary.csv,total_discounted_revealed_loss,462.658455634859,mean_period_revealed_loss,8.217678219434488,,,
case_0079,empirical_unified,historical_shock,revealed,ann,sac_svar_direct,svar_direct,svar,svar,standard_nonlinear,sac,outputs\phase10\revealed_welfare\revealed_historical_summary.csv,total_discounted_revealed_loss,1365.2183708312534,mean_period_revealed_loss,25.432444496204145,,,
case_0080,empirical_unified,historical_shock,revealed,ann,td3_svar_direct,svar_direct,svar,svar,standard_nonlinear,td3,outputs\phase10\revealed_welfare\revealed_historical_summary.csv,total_discounted_revealed_loss,2471.020489118529,mean_period_revealed_loss,44.937371013254335,,,
case_0081,empirical_unified,historical_shock,revealed,ann,ppo_svar_revealed_direct,svar_revealed_direct,svar,svar,linear_policy,ppo,outputs\phase10\revealed_welfare\revealed_historical_summary.csv,total_discounted_revealed_loss,398.1940382311353,mean_period_revealed_loss,7.297577674275116,,,
case_0082,empirical_unified,historical_shock,revealed,ann,ppo_svar_revealed_direct_nonlinear,svar_revealed_direct,svar,svar,nonlinear_policy,ppo,outputs\phase10\revealed_welfare\revealed_historical_summary.csv,total_discounted_revealed_loss,549.0247665618075,mean_period_revealed_loss,9.784313813387788,,,
case_0083,empirical_unified,historical_shock,revealed,ann,sac_svar_revealed_direct,svar_revealed_direct,svar,svar,standard_nonlinear,sac,outputs\phase10\revealed_welfare\revealed_historical_summary.csv,total_discounted_revealed_loss,211.2757172303157,mean_period_revealed_loss,3.9179118160706072,,,
case_0084,empirical_unified,historical_shock,revealed,ann,td3_svar_revealed_direct,svar_revealed_direct,svar,svar,standard_nonlinear,td3,outputs\phase10\revealed_welfare\revealed_historical_summary.csv,total_discounted_revealed_loss,700.0034482778622,mean_period_revealed_loss,13.686133840618693,,,
case_0085,empirical_unified,historical_shock,revealed,ann,riccati_reference,theory_reference,benchmark,benchmark,fixed_rule,,outputs\phase10\revealed_welfare\revealed_historical_summary.csv,total_discounted_revealed_loss,1012.986929731562,mean_period_revealed_loss,18.46727339001492,,,
case_0086,empirical_unified,historical_shock,revealed,ann,ppo_ann_direct_linear,,,,,,outputs\phase10\revealed_welfare\revealed_historical_summary.csv,total_discounted_revealed_loss,376.38234812084505,mean_period_revealed_loss,6.476421037604082,,,
case_0087,empirical_unified,historical_shock,revealed,ann,ppo_svar_direct_linear,,,,,,outputs\phase10\revealed_welfare\revealed_historical_summary.csv,total_discounted_revealed_loss,206.4909792323561,mean_period_revealed_loss,3.769422704801121,,,
case_0088,empirical_unified,historical_shock,revealed,svar,ppo_ann_direct,ann_direct,ann,ann,linear_policy,ppo,outputs\phase10\revealed_welfare\revealed_historical_summary.csv,total_discounted_revealed_loss,440.0617156969578,mean_period_revealed_loss,7.099006070877067,,,
case_0089,empirical_unified,historical_shock,revealed,svar,ppo_ann_direct_nonlinear,ann_direct,ann,ann,nonlinear_policy,ppo,outputs\phase10\revealed_welfare\revealed_historical_summary.csv,total_discounted_revealed_loss,243.2298297032033,mean_period_revealed_loss,4.3383179693290215,,,
case_0090,empirical_unified,historical_shock,revealed,svar,sac_ann_direct,ann_direct,ann,ann,standard_nonlinear,sac,outputs\phase10\revealed_welfare\revealed_historical_summary.csv,total_discounted_revealed_loss,786.702657214258,mean_period_revealed_loss,12.903607731178516,,,
case_0091,empirical_unified,historical_shock,revealed,svar,td3_ann_direct,ann_direct,ann,ann,standard_nonlinear,td3,outputs\phase10\revealed_welfare\revealed_historical_summary.csv,total_discounted_revealed_loss,793.3077207497594,mean_period_revealed_loss,13.619890568363706,,,
