policy_name,model_id,rule_family,inflation_coeff,output_coeff,lagged_rate_coeff,total_discounted_loss,mean_period_loss,total_discounted_revealed_loss,mean_period_revealed_loss,mean_sq_inflation_gap,mean_sq_output_gap,mean_sq_rate_change,mean_policy_rate,std_policy_rate,solver_status,improvement_vs_US_CPS10_baseline_pct,improvement_vs_US_CPS10_baseline_revealed_pct,improvement_vs_US_RA07_baseline_pct,improvement_vs_US_RA07_baseline_revealed_pct,improvement_vs_NK_CFP10_baseline_pct,improvement_vs_NK_CFP10_baseline_revealed_pct,improvement_vs_US_FRB03_baseline_pct,improvement_vs_US_FRB03_baseline_revealed_pct,improvement_vs_G7_TAY93_baseline_pct,improvement_vs_G7_TAY93_baseline_revealed_pct,improvement_vs_NK_GHP16_baseline_pct,improvement_vs_NK_GHP16_baseline_revealed_pct,improvement_vs_EA_SWW14_baseline_pct,improvement_vs_EA_SWW14_baseline_revealed_pct,improvement_vs_EA_SW03_baseline_pct,improvement_vs_EA_SW03_baseline_revealed_pct
sac_benchmark_transfer,US_RA07,benchmark_transfer,1.173557590574,1.021392382428,0.396672274455,125522.820803183,1032.379214218,177895.388068933,1565.62688217656,1019.25354210483,20.9952079579918,26.2806813417219,-6.20695690890399,32.0581003776343,ok,,,-68.49357781410468,-118.60097600910228,,,,,,,,,,,,
td3_benchmark_transfer,US_RA07,benchmark_transfer,0.968164929181,1.178277175695,0.417105133444,222092.412830704,2045.9381177859,291114.505791473,2677.57703303835,2035.55902020129,14.4925951216317,31.3280002379235,-17.8196422279853,42.5019119180394,ok,,,-198.12224584952577,-257.7266155532053,,,,,,,,,,,,
empirical_taylor_rule,US_RA07,empirical_rule,0.193172811483,0.265768574867,0.869199767248,278310.287425849,2766.40848938154,319809.932376368,3102.579235858,2754.52461279338,20.4818513572818,16.4295090950932,-25.3253100322825,46.1057675381272,ok,,,-273.58542272071065,-292.98805952062787,,,,,,,,,,,,
sac_svar_revealed_direct,US_RA07,svar_revealed_direct,0.0678741432465723,0.0509750434082332,0.9307229868470568,inf,inf,inf,inf,,,,,,failed,,,-inf,-inf,,,,,,,,,,,,
sac_svar_direct,NK_CFP10,svar_direct,1.528632674699,0.572243175257,0.226215527375,1848.18138427604,17.5454972946859,7075.46850987847,70.1663431395955,11.4992517283502,11.6102517637097,2.41119684480762,-0.459542853804823,3.20994572472609,ok,,,,,12.014363433168182,20.563370616935114,,,,,,,,,,
sac_benchmark_transfer,NK_CFP10,benchmark_transfer,1.173557590574,1.021392382428,0.396672274455,2044.1695391356,18.8006368446458,7429.30854274423,73.3999002071879,16.3009759993155,4.4700088806757,2.64656404992401,-0.524258375251287,3.70482395590029,ok,,,,,2.6840332439416645,16.590791343575923,,,,,,,,,,
td3_svar_direct,NK_CFP10,svar_direct,1.59612453235,1.16730785948,-0.058737516184,2098.28449986673,19.1838632161421,8265.44277147019,82.6854810872908,17.2025755174808,3.3398575632623,3.11358917030093,-0.542288867091986,3.84667492844786,ok,,,,,0.10780381742210143,7.203471655972684,,,,,,,,,,
NK_CFP10_baseline,NK_CFP10,external_baseline,0.0,0.0,0.0,2100.5489718452,20.2663570298527,8907.06033832157,89.7252094700846,13.239614553942,13.4096170430723,3.21933954374546,-0.499428050348851,3.48320702265482,ok,,,,,0.0,0.0,,,,,,,,,,
td3_benchmark_transfer,NK_CFP10,benchmark_transfer,0.968164929181,1.178277175695,0.417105133444,2235.64937840754,20.4617520481204,8104.86063690193,80.3432759496396,18.4658533212252,3.40555772466587,2.93119864562283,-0.552744240344347,3.91937753560422,ok,,,,,-6.431671357019729,9.006335097655851,,,,,,,,,,
empirical_taylor_rule,NK_CFP10,empirical_rule,0.193172811483,0.265768574867,0.869199767248,4626.63860272014,49.4892627161142,13586.3531696516,141.703081905143,20.6989711886716,56.8750339547161,3.52774550084548,-0.566602081980954,3.95690430728554,ok,,,,,-120.2585450153028,-52.534648397944814,,,,,,,,,,
