rank,policy_name,model_id,total_discounted_loss,mean_period_loss,total_discounted_revealed_loss,mean_period_revealed_loss,mean_sq_inflation_gap,mean_sq_output_gap,mean_sq_rate_change,mean_policy_rate,std_policy_rate,converged,iterations,max_fixed_point_gap,clip_rate,start,end,intercept,inflation_coeff,output_coeff,lagged_rate_coeff,policy_parameterization,revealed_improvement_vs_baseline_pct
40,fine_30,pyfrbus,0.014202726437458593,0.0006501058554387144,0.018681138607062477,0.0008494749517116888,0.00038899030057878617,0.000522230840781365,1.3446924573465124e-09,2.9999283391926608,1.498411623039134e-05,True,2,0.0,0.0,2040Q1,2045Q4,1.0,0.002,-0.002,0.0,linear_rule,-0.6661228020152361
41,fine_49,pyfrbus,0.015551004833685211,0.000735444635937867,0.02422413785669527,0.001123285349527801,0.00046529217817674524,0.0005384806389398953,9.121382911740013e-06,3.0151011019786274,6.139523897435455e-05,True,6,0.0,0.0,2040Q1,2045Q4,1.005,0.002,-0.002,0.01,linear_rule,-30.535407265439858
42,fine_51,pyfrbus,0.015546706062125739,0.0007352394151258056,0.02425152178554988,0.0011243729890203023,0.0004653843498785705,0.0005378705856158283,9.19772439321065e-06,3.0150907214814886,2.9918221031281345e-05,True,6,0.0,0.0,2040Q1,2045Q4,1.005,0.002,0.0,0.01,linear_rule,-30.68296968135372
43,fine_53,pyfrbus,0.015542337049867974,0.0007350305086263612,0.024278984232530297,0.0011254628136987894,0.0004654757731772003,0.0005372545762206238,9.274473388488966e-06,3.0150802376199786,4.7803437794423234e-05,True,6,0.0,0.0,2040Q1,2045Q4,1.005,0.002,0.002,0.01,linear_rule,-30.830955203988257
44,fine_43,pyfrbus,0.015580956096011926,0.0007369746901695389,0.024296722486481435,0.0011267815783075768,0.0004655170747269589,0.0005410812122347211,9.170093252194238e-06,3.015144678111305,6.356332787690418e-05,True,6,0.0,0.0,2040Q1,2045Q4,1.005,0.0,-0.002,0.01,linear_rule,-30.926540451124296
45,fine_45,pyfrbus,0.015576587073667408,0.0007367657075916673,0.024324085199415528,0.0011278669128446668,0.0004656087701890952,0.0005404645480269101,9.24663389116965e-06,3.0151341556009705,3.0693486227925645e-05,True,6,0.0,0.0,2040Q1,2045Q4,1.005,0.0,0.0,0.01,linear_rule,-31.073988541862104
46,fine_47,pyfrbus,0.015572147652850045,0.0007365530327481561,0.024351526249948442,0.001128954425460121,0.00046569971853462907,0.000539841911963265,9.32358231894441e-06,3.0151235303433794,4.608151506769129e-05,True,6,0.0,0.0,2040Q1,2045Q4,1.005,0.0,0.002,0.01,linear_rule,-31.221858766523802
47,fine_37,pyfrbus,0.015611064086203049,0.00073851250699945,0.024369643492169357,0.0011302939791741466,0.0004657421080075568,0.0005436970112701811,9.21893356802693e-06,3.0151882743975507,6.576209631435558e-05,True,6,0.0,0.0,2040Q1,2045Q4,1.005,-0.002,-0.002,0.01,linear_rule,-31.31948624890622
48,fine_39,pyfrbus,0.015606624013618838,0.0007382997225283214,0.024396983571853374,0.0011313769376682108,0.0004658333266749125,0.0005430736570414468,9.295673326855375e-06,3.0151776097901073,3.163098312228649e-05,True,6,0.0,0.0,2040Q1,2045Q4,1.005,-0.002,0.0,0.01,linear_rule,-31.466812376974644
49,fine_41,pyfrbus,0.015602113391083798,0.0007380832395321443,0.024424401819915537,0.0011324620677046376,0.00046592379952404986,0.0005424443157861096,9.372821150396916e-06,3.015166843052864,4.439969776740374e-05,True,6,0.0,0.0,2040Q1,2045Q4,1.005,-0.002,0.002,0.01,linear_rule,-31.61455972709592
50,fine_04,pyfrbus,0.017601803852523013,0.0008117476551307816,0.025517265322960676,0.001172084707063258,0.0003667002006062306,0.0008898882066754018,1.0335118685008997e-06,2.995108622452434,1.1329086692137457e-05,True,5,0.0,0.0,2040Q1,2045Q4,0.995,-0.002,0.002,0.0,linear_rule,-37.50361894973834
51,fine_10,pyfrbus,0.01763658102012415,0.0008134134500333194,0.02558917893181724,0.0011754827071484197,0.0003665248980868464,0.0008935671199791313,1.049919569074019e-06,2.9950705243715032,1.0666284720619105e-05,True,5,0.0,0.0,2040Q1,2045Q4,0.995,0.0,0.002,0.0,linear_rule,-37.891136238301996
52,fine_02,pyfrbus,0.017658989830376788,0.0008144792252776012,0.02563495306960716,0.0011776349962269023,0.00036641196295365564,0.0008959226656602873,1.0592949380176166e-06,2.995050426784354,8.015549094439827e-07,True,5,0.0,0.0,2040Q1,2045Q4,0.995,-0.002,0.0,0.0,linear_rule,-38.13779705876047
53,fine_16,pyfrbus,0.01767146623264551,0.0008150845671912373,0.025661343158491386,0.001178892582838538,0.0003663497042802448,0.0008972564345187204,1.0664565163227571e-06,2.9950324443067324,1.0015845668609307e-05,True,5,0.0,0.0,2040Q1,2045Q4,0.995,0.002,0.002,0.0,linear_rule,-38.280004018638785
54,fine_08,pyfrbus,0.017694029270062417,0.0008161579091124303,0.025707430079720914,0.0011810599613371615,0.00036623640069267986,0.0008996278357470345,1.0759054623317613e-06,2.9950122122802925,5.793557381490227e-08,True,5,0.0,0.0,2040Q1,2045Q4,0.995,0.0,0.0,0.0,linear_rule,-38.52835031966695
55,fine_00,pyfrbus,0.017716750145339383,0.0008172389748058907,0.02575383396441796,0.0011832426576536157,0.0003661225664615094,0.0009020157328240241,1.0854193236932877e-06,2.9949918141508043,9.888545967736504e-06,True,5,0.0,0.0,2040Q1,2045Q4,0.995,-0.002,-0.002,0.0,linear_rule,-38.77840462597339
56,fine_14,pyfrbus,0.017729177243230254,0.0008178419396041649,0.02578015856263292,0.0011844968447601819,0.0003660609475185446,0.000903343455124947,1.0926452314677206e-06,2.9949740158613523,7.072695136640739e-07,True,5,0.0,0.0,2040Q1,2045Q4,0.995,0.002,0.0,0.0,linear_rule,-38.920258679538364
57,fine_06,pyfrbus,0.017752054056751752,0.0008189306573726938,0.025826878250896267,0.0011866947811900819,0.00036594674437850764,0.0009057473794568744,1.1022326574898159e-06,2.9949534827573756,1.043083313149721e-05,True,5,0.0,0.0,2040Q1,2045Q4,0.995,0.0,-0.002,0.0,linear_rule,-39.17201474082104
58,fine_12,pyfrbus,0.017787466988781517,0.0008206277109391244,0.0259001748627284,0.0011901588656473344,0.0003657710317578572,0.0009094895233156328,1.119175234506799e-06,2.99491516951826,1.0999020242045813e-05,True,5,0.0,0.0,2040Q1,2045Q4,0.995,0.002,-0.002,0.0,linear_rule,-39.56698454875747
59,const_1p20,pyfrbus,1.4637965462551255,0.07234454460816354,3.343562143040575,0.15909928555916972,0.002123911954343046,0.14010828844360462,0.0016648843201819523,3.1999868796815676,1.5642605423436424e-09,True,8,0.0,0.0,2040Q1,2045Q4,1.2,0.0,0.0,0.0,linear_rule,-17917.287081219187
60,const_0p80,pyfrbus,1.7587083821280383,0.08645217362679443,3.8943824192035406,0.18546672811046538,0.0002541684594544173,0.17206240786239105,0.001668012361444755,2.8000131236815675,1.5642604646870563e-09,True,8,0.0,0.0,2040Q1,2045Q4,0.8,0.0,0.0,0.0,linear_rule,-20885.464917076493
61,reference_sac_svar_revealed_direct,pyfrbus,14.777047075514378,0.7357558337358373,27.38111557579258,1.3536964039413892,0.010318653380707548,1.4502302042079949,0.0032207825113226233,3.65925747547548,0.193983149244134,True,10,0.0,0.0,2040Q1,2045Q4,0.1952349032153061,0.0678741432465723,0.0509750434082332,0.9307229868470568,linear_rule,-147447.25613817025
