seed,update,mean_episode_reward_in_rollout,rollout_clip_rate,rollout_mean_abs_action,eval_mean_reward,eval_mean_discounted_loss,eval_clip_rate
29,84,-86.66088901188928,0.0,1.7372233257933658,-29.461137295107182,23.088022392134377,0.0
29,85,-92.9090033806882,0.0,1.8731642587335955,-31.15400336596044,24.258129370815215,0.0
29,86,-96.645444658007,0.0,1.8587160057027177,-32.77690087065622,25.40654307699224,0.0
29,87,-95.3198766889939,0.0,1.848115917279756,-31.941402929398052,24.833467954295845,0.0
29,88,-85.25876121353666,0.0,1.810412035387344,-33.01346535243426,25.38444265900289,0.0
29,89,-86.30232618562516,0.0,1.8654464711462424,-33.76848611289162,26.26024568949582,0.0
29,90,-93.6851374769172,0.0,1.8055823033669185,-32.24742740029128,24.930556552228918,0.0
29,91,-89.12932461681719,0.0,1.9119463164115587,-32.14969350292097,24.703934797721445,0.0
29,92,-85.22368325837165,0.0,1.7858276948645653,-32.189345683795615,24.573109127472094,0.0
29,93,-82.41876202725484,0.0,1.8250605543689744,-31.427432165807534,24.1931688188473,0.0
29,94,-83.64120273097855,0.0,1.7727568701029668,-30.759838698847563,23.64733873095297,0.0
29,95,-84.06370150115276,0.0,1.7785783909448583,-29.208702293830424,22.42744258719893,0.0
29,96,-73.28680370291612,0.0,1.9117412083178351,-29.79328232545146,23.035643246616733,0.0
29,97,-101.05681596920877,0.0,1.8838006365531328,-28.68672501264473,22.258603762993584,0.0
29,98,-85.40466932592099,0.0,1.81290870378416,-26.809217164318692,21.07573324181617,0.0
29,99,-92.36608998277292,0.0,1.9345026559240068,-27.414103343622035,21.51164051196713,0.0
29,100,-95.58574286288723,0.0,1.8907146263936738,-26.154284798666865,20.795444928869177,0.0
29,101,-78.66651340696302,0.0,1.8191625845156523,-24.665771984913707,19.371999361041894,0.0
29,102,-91.36081598640573,0.0,1.914839704777478,-23.6764593331758,18.64950938609936,0.0
29,103,-85.46843498133028,0.0,1.8306666329785912,-23.68571774238517,18.621758392869996,0.0
29,104,-71.28537596400155,0.0,1.6800703321659967,-24.48106237101372,19.388210108174878,0.0
29,105,-78.63796091879064,0.0,1.782121371546964,-23.459959491137237,18.39900278799769,0.0
29,106,-82.37043921372778,0.0,1.8538136655079143,-24.429418369211636,19.14050211503943,0.0
29,107,-83.42216673568801,0.0,1.8559534060223086,-24.572085434455634,19.316893859062933,0.0
29,108,-78.29978973271346,0.0,1.8542151890251262,-23.899144869201223,18.7571228474075,0.0
29,109,-83.62321859213698,0.0,1.9388898727847845,-23.574493801739564,18.455914947329628,0.0
29,110,-78.84226603874832,0.0,1.8039361880219076,-26.38214688730335,20.52642704093125,0.0
29,111,-82.22209248224287,0.0,1.874598550983137,-25.764341345315405,20.236247020705196,0.0
29,112,-75.2663508194043,0.0,1.7951317689576172,-26.561941091316516,20.760844405531888,0.0
29,113,-80.8821882081199,0.0,1.826453565077827,-26.553949888342533,20.775033186160307,0.0
29,114,-79.66815209572714,0.0,1.7742472026247924,-26.62435845279727,20.97421785724931,0.0
29,115,-95.64124334269121,0.0,1.8288700996681655,-25.39392031696211,20.014576494130832,0.0
29,116,-74.64341946723077,0.0,1.7678004493127446,-25.463068916417146,19.916940306308636,0.0
29,117,-84.77368672951343,0.0,1.7937302482896484,-26.196324863494628,20.397801299752942,0.0
29,118,-70.66480049889539,0.0,1.729333700497591,-26.22590087051343,20.20344064142734,0.0
29,119,-73.67180499391797,0.0,1.7904962018819788,-27.142078510825243,20.61485964773239,0.0
43,0,-145.82099058873524,0.0,1.9623257359016861,-51.30196332031489,38.287572053144736,0.0
43,1,-118.4308141772324,0.0,2.053162813939707,-57.21945535265946,43.35452603482523,0.0
43,2,-142.58170464816618,0.0,2.0398674670550463,-56.17661249440687,42.315369237021066,0.0
43,3,-137.22790262812364,0.0,2.046225726134253,-55.99961030806085,42.40546635710965,0.0
43,4,-143.14666793431235,0.0,2.1114104478037916,-52.42425423210731,39.583642310970305,0.0
43,5,-151.74680604502424,0.0,2.169141291175947,-52.694558608019044,39.70185621592436,0.0
43,6,-155.61010325791625,0.0,2.0182753693552513,-49.69179835175916,37.23699117311673,0.0
43,7,-124.43277915180413,0.0,2.106104473474261,-44.9702339649075,33.712192448563705,0.0
43,8,-147.819596383833,0.0,2.061558556113596,-43.434886696848274,32.40104868878807,0.0
43,9,-135.98524493386188,0.0,2.173521299746426,-46.718730988721035,35.064865060495826,0.0
43,10,-152.42583238725607,0.0,2.0974191418790724,-45.26836766981162,34.33480558841128,0.0
43,11,-122.77676110316679,0.0,1.9723177404775925,-48.18429899108153,36.29716031524781,0.0
43,12,-123.10338423193672,0.0,1.9744089592550154,-46.95624509222796,35.594216541645814,0.0
43,13,-141.63699967128233,0.0,2.1508802381426904,-44.99978286325742,33.60400108935415,0.0
43,14,-139.75295261783788,0.0,2.0430241632147954,-47.293995437179056,36.00797208396157,0.0
43,15,-142.65578693564055,0.0,1.9773681631795625,-49.54592112147361,37.828146496472584,0.0
43,16,-140.93952508950764,0.0,2.0844630696701643,-50.45501036064681,38.76120535679408,0.0
43,17,-130.19165798528627,0.0,2.1326496101428347,-48.68491997658126,37.38375333134018,0.0
43,18,-136.38812618648345,0.0,2.094418263841362,-50.2462430144353,38.92296163524525,0.0
43,19,-129.1857727793712,0.0,1.9892534390201035,-51.94866745754092,40.49150487141598,0.0
43,20,-140.82223123448426,0.0,1.996360359917162,-58.810690651521895,46.041286183978706,0.0
43,21,-125.25339594342894,0.0,2.069455895299143,-57.66798376885254,45.30315034386291,0.0
43,22,-122.48769950652932,0.0,2.0443589951319154,-60.07358603737495,47.06346498142812,0.0
43,23,-132.66809670136303,0.0,2.024925733658165,-54.46557293749442,42.9586218811738,0.0
43,24,-124.28447298758826,0.0,2.0831254961285595,-54.22840290876993,43.133631437130276,0.0
43,25,-102.98131794829936,0.0,1.9345338300154253,-50.70090338654888,40.7860270145138,0.0
43,26,-128.43563898109758,0.0,2.1100413021031272,-47.767511423447424,38.22948170276678,0.0
43,27,-124.32414261292567,0.0,2.010506098087717,-46.23620450663332,36.98627461625253,0.0
43,28,-124.44262873824749,0.0,2.0716273210910003,-47.39460709657802,38.11209029461991,0.0
43,29,-120.5293662655584,0.0,1.9981762696570513,-46.89174762423131,37.85602889641243,0.0
43,30,-130.24217902416925,0.0,1.9665622675784107,-45.70517584892544,36.73504087330269,0.0
43,31,-130.9545457060515,0.0,2.0421559425285523,-43.54397693049679,34.94135974600112,0.0
43,32,-149.60446680085252,0.0,2.0280126255102005,-42.51538419541695,33.99320354963076,0.0
43,33,-119.23748738290286,0.0,2.0320021518509748,-41.87867326855848,32.98972459441327,0.0
43,34,-119.91479480041426,0.0,2.1333916329931526,-44.88510317877058,35.10069071177426,0.0
43,35,-123.9352055496299,0.0,1.9974976125904504,-45.97229471220331,35.985438085582885,0.0
43,36,-116.60705354380171,0.0,2.005964018353552,-41.7242012887383,32.4235164702096,0.0
43,37,-125.97495571955862,0.0,1.9478507534995515,-41.52220840751274,32.1099711581717,0.0
43,38,-101.13881531445116,0.0,1.9926343148763408,-40.46935862362174,31.25476290112699,0.0
43,39,-119.67330516673393,0.0,1.99462638026489,-39.394042573458435,30.32809643761424,0.0
43,40,-111.87664715154116,0.0,1.989763226847117,-38.46071292847858,29.314881647618716,0.0
43,41,-101.20487361570743,0.0,1.9686705894646366,-37.91309026413709,28.829764972382844,0.0
43,42,-121.59342891227415,0.0,1.9215353776271513,-40.135858437564856,30.76152590443181,0.0
43,43,-120.99820158633968,0.0,1.9579631140068159,-42.69499780146068,32.691992181193605,0.0
43,44,-120.35325664515842,0.0,1.9829776809328905,-38.608569071043064,29.531608494469427,0.0
43,45,-107.67996777220405,0.0,1.9345119553527184,-39.26123966519403,30.346428749981683,0.0
43,46,-109.01727361858892,0.0,1.945858303219211,-34.50037710808832,26.813891255546196,0.0
43,47,-94.44708740974708,0.0,1.8680690416595098,-33.45070102710023,26.07472426470287,0.0
43,48,-109.4580031529021,0.0,1.881657316012479,-35.615665036743565,28.022879103511233,0.0
43,49,-96.6900154680563,0.0,1.9231598249143644,-33.86656591849485,26.598814499209826,0.0
43,50,-113.75805219257994,0.0,1.853358892029064,-34.780810641650966,27.32094739521261,0.0
43,51,-123.8344165510598,0.0,2.0139803302754444,-36.22710061150335,28.415018020129505,0.0
43,52,-106.4282324569507,0.0,1.907800535505885,-34.50095793805604,27.028725380544653,0.0
